ID,Title,TitleKana,Version,Series,Author,Publisher,PublishYear,SizeInfo,ISBN,URL
R100000002-I024221460,Java入門 : Java7版,ジャバ ニュウモン : ジャバ セヴンバン,,SCC Books ; B-362. Javaバイブルシリーズ,SCC出版局 編集,エスシーシー,2013,371p ; 24cm,978-4-88647-956-3,https://ndlsearch.ndl.go.jp/books/R100000002-I024221460
R100000002-I023959053,初級Java = Java for Beginners : やさしいJava,ショキュウ ジャヴァ : ヤサシイ ジャヴァ,,,"筧捷彦 監修 , 長慎也, 飯塚康至 著",実教出版,2012,263p ; 24cm,978-4-407-32586-7,https://ndlsearch.ndl.go.jp/books/R100000002-I023959053
R100000002-I023588858,Java,ジャヴァ,,シリーズアジャイルソフトウェア開発技術. 基礎編,"長瀬嘉秀 監修 , 浜川剛, 山下智也 編 , テクノロジックアート 著",東京電機大学出版局,2012,208p ; 21cm,978-4-501-55040-0,https://ndlsearch.ndl.go.jp/books/R100000002-I023588858
R100000002-I000008423211,Java,,改訂版,プログラミング入門 : 情報処理技術者テキスト,"浅井宗海 編著 , 藤村英範, 吉岡史樹 著",実教出版,2007,258p ; 26cm,978-4-407-31289-8,https://ndlsearch.ndl.go.jp/books/R100000002-I000008423211
R100000002-I025302738,Effective Java,イフェクティヴ ジャヴァ,第2版,The Java Series,"ジョシュア・ブロック 著 , 柴田芳樹 訳",丸善出版,2014,325p ; 23cm,978-4-621-06605-8,https://ndlsearch.ndl.go.jp/books/R100000002-I025302738
R100000002-I029280531,Effective Java,イフェクティヴ ジャヴァ,第3版,,"ジョシュア・ブロック 著 , 柴田芳樹 訳",丸善出版,2018,384p ; 23cm,978-4-621-30325-2,https://ndlsearch.ndl.go.jp/books/R100000002-I029280531
R100000002-I000009373836,独習Java,ドクシュウ Java,第4版,,"ジョゼフ・オニール 著 , トップスタジオ 訳 , 武藤健志 監修",翔泳社,2008,499p ; 23cm + CD-ROM1枚 (12cm),978-4-7981-1715-7,https://ndlsearch.ndl.go.jp/books/R100000002-I000009373836
R100000002-I000009861906,Effective Java,,第2版,,"ジョシュア・ブロック 著 , 柴田芳樹 訳",ピアソン・エデュケーション,2008,325p ; 23cm,978-4-89471-499-1,https://ndlsearch.ndl.go.jp/books/R100000002-I000009861906
R100000002-I029651178,独習Java = Teach Yourself Java,ドクシュウ ジャバ,新版,,山田祥寛 著,翔泳社,2019,609p ; 23cm,978-4-7981-5112-0,https://ndlsearch.ndl.go.jp/books/R100000002-I029651178
R100000002-I000009336118,満腹Java. Javaアプリケーション開発編,マンプク Java,,,エイチピーティー 著,アスキー・メディアワークス 角川グループパブリッシング (発売),2008,277p ; 24cm,978-4-04-870011-5,https://ndlsearch.ndl.go.jp/books/R100000002-I000009336118
R100000002-I028035422,Java入門,ジャバ ニュウモン,改訂版,SCC Books ; B-397. Javaバイブルシリーズ,SCC出版局 編集,エスシーシー,2017,371p ; 24cm,978-4-88647-635-7,https://ndlsearch.ndl.go.jp/books/R100000002-I028035422
R100000002-I000010681244,Java. 2 (アプリケーションづくりの初歩),Java,,プログラミング学習シリーズ,三谷純 著,翔泳社,2010,281p ; 23cm + CD-ROM1枚 12cm,978-4-7981-2099-7,https://ndlsearch.ndl.go.jp/books/R100000002-I000010681244
R100000002-I000009287421,基礎Java,キソ Java,改訂新版,Impress kiso series,小山博史 著,インプレスジャパン インプレスコミュニケーションズ (発売),2008,494p ; 24cm + CD-ROM1枚 (12cm),978-4-8443-2523-9,https://ndlsearch.ndl.go.jp/books/R100000002-I000009287421
R100000002-I000008997218,明解Java. 入門編,メイカイ Java,,,柴田望洋 著,ソフトバンククリエイティブ,2007,526p ; 24cm,978-4-7973-3953-6,https://ndlsearch.ndl.go.jp/books/R100000002-I000008997218
